Market,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Angul,17.85,17.81,17.77,16.71,17.29,17.32,17.42,17.29,17.81,18.34,17.59,18.03
Atha arh,3.09,1.53,1.05,1.07,1.11,4.03,1.12,1.13,1.17,1.1,1.13,1.15
Bahadajholla,20.6,20.15,19.59,19.55,19.49,20.02,18.65,17.33,16.56,16.19,16.96,15.66
Balugaon,4.14,3.73,3.88,3.66,3.99,3.53,3.36,3.23,3.13,3.03,3.32,3.56
Banki,1.28,1.32,1.21,1.2,1.16,1.08,1.11,1.07,1.07,1.09,1.09,1.13
Bargarh,4.13,3.83,4.17,4.84,4.94,4.84,4.26,3.82,3.98,3.84,4.22,3.84
Bar arh(Barapalli),2.77,2.82,3.05,2.62,2.64,2.64,2.75,2.73,2.77,2.75,2.65,2.66
Betnoti,0.31,0.76,0.78,0.78,0.68,0.36,0.18,0.19,0.29,0.23,0.28,0.32
Boudh,0.34,0.34,0.33,0.29,0.33,0.33,0.31,0.31,0.33,0.33,0.34,0.34
Champua,0.47,0.45,0.44,0.41,0.56,0.44,0.42,0.46,0.68,0.51,0.43,0.46
Dhenkanal,1.2,1.16,0.93,0.86,0.63,0.82,0.88,0.64,0.66,1.26,0.99,0.85
,,,,,,,,,,,,
